,Empresa,Categoria,Total Docs,Tipificados,% Tipificação
42,DYNADOK,JURÍDICO,26,26,100
43,FLEXDOC,JURÍDICO,26,8,30.8
51,SIMPLY,JURÍDICO,26,3,11.5
41,CREDIFY,JURÍDICO,26,1,3.8
39,TIRRELL,JURÍDICO,26,0,0
40,BRASIL INDOC,JURÍDICO,26,0,0
44,KUMULUS,JURÍDICO,26,0,0
45,NEOWAY,JURÍDICO,26,0,0
46,NETRIN,JURÍDICO,26,0,0
47,NEXTCODE,JURÍDICO,26,0,0
48,OSAS,JURÍDICO,26,0,0
49,QITECH,JURÍDICO,26,0,0
50,SANTO DIGITAL,JURÍDICO,26,0,0
